main_str_data,sub_str_data
BPRLAXIENUXLGNFGYPCTMHYJXZPQLUAGUCDYGLUBXANRAUHDDGTBFWXSGWVGXSMSAVZWYMRPDFCUHZLLTISSVDSEVTHQZXIPEUQOXRK,TBF
ULKZPKFLSAOMORQSAFRIMRBDSYMLZKVPXHUVAPPRPYRULQTLIXBWIFNKCJSMQGFIDNMYCYCJEMNTIVYGUTUJVHDKMERDKIBHUVACKYVJ,PYRUL
MNWQYQBJIXROBOPPXLXWLWGDBEHUHKDGCHKQCBMCYNJIGQCIPDVELBAZVJOUBUVBXXMAQAAYBVFOLAFBJRLHWDDCMDGXYHYJHBPPLRSGROFUQTCR,DBE
CASEFSFZYVVTRXCFUVFJKZRIQJNAHXQHSCNKVVWQBASNVVSKTUGKWEWMRIPDJJLDKUVIEIIYKPRPGRXTIXJRBAPRGDEJCDKTBVSMD,ASEFS
MTVXEPJNKMLPAYOJEUBVQDQKFKBIUYOEJHQNGHJQAZKCEAJFCSWFKNITQDKVAJDJWVFHBPWNMXOSLICFNQXHPZGRDGTHUMIQBIFITIAOTZMJKFCKHTMNAFBC,ZGRDG
ETITOLAQJFABCDUMAGSCJCCPYMEWEUFESCEZNDNXJZXUVMPBMPZVSXZIBGHAGOPPKJERPJURDKRIWUYNIHWZKTUDWORTPCJOJSBCUSTUTUXDUDIIIPBJUYUDZFCVZPIZFK,IWU
MZPWACUGTFXOAWZUXWEWSDNFSIYEJOEOLQKVFAKUPXACHOZMPCYPKSNGVWMCYYKTOWOCCHRLEJOFUOSMXNBERHAQECOQHZOJNAIWGGPWDULWZSFOZGFAGAFDIRVIREQTZB,DNFS
ZNYPMBUSAKVTADVJXDWXAYXDOJGPCXMGXDPBYYCWFJWYXROLUEGNATKCTPBSDQOMVJCAEVTGYLUYWSMFDPXMEENHGUZSAADZNAZK,OMVJC
KLREKTVKHNPTOTFMXGMCQPPLQLYSJJGTLOKBASZUUKVRVSLLPGIUZANKJBMVEETJLLDAZRDVSQWSXUKGUPETWYASUKQZWXCGVKTNUTV,UPET
HLMTXFFCKITNFEJVLPTFBCBEWKJEXLZMQWNNAAKIMLWXDYVBUCHYTFAJYXHDBVOFJRVNUAACMOYLDXOKTUYSXXVLVEODLYENSBPSNJMZBCJVFSQPWHJVKPNXRRLVBWYKDARENPR,ITNF
TMZPVTLGGGQJIAZKTZWCUGCDGUYOPKVTNMUYQJZDDVNKFYZUINMRTJLNFBBOPFGPQTIZQHXDSTXNVRTQSDXPYMENJXQJQHMUQAFWSBCTCCXZZADFMQAPQB,ZDDV
RQJTJBHNPROBNBSRICHWEQKCFQMMAZPCZJCJJKNLQBWMIMTYFDZNKZDCOHDUPJPEQXYCSYGIPZGNBLSESKGPUHQFTBXYEXUMFQOOUMCWRFKOWJRSEJXKEPVNGVQGWHZHECAETDWPKUVSQRA,KNLQB
